id,source_type,local_path,component_match,width,height,avg_hex,provenance,implementation_status
metamask-crypto-wallet-trust-0044,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-004-img_26412583dadb.webp,swap-quote-card,768,521,#d9d9da,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0045,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-005-img_2cf01085c58b.webp,network-selector,768,523,#efeeef,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0046,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-006-img_359b926448d3.webp,gas-fee-warning,768,521,#f0f1f1,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0047,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-007-img_3bef701ef11a.webp,connect-dapp-permission,768,523,#f0eff0,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0048,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-008-img_46f01bfe5912.webp,security-warning,768,521,#ebe7ea,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0049,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-009-img_58754cbec89c.webp,portfolio-card,768,523,#efeeef,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0050,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-010-img_764c69e22167.webp,seed-phrase-onboarding,768,521,#dadedc,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0051,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-011-img_7a0849361a87.webp,wallet-home-balance,768,521,#2a2a2b,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0052,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-012-img_80545df5e5c1.webp,token-list,768,523,#f0eff0,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0053,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-013-img_81ddeb7d1380.webp,send-receive-flow,768,523,#f0eaef,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0054,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-014-img_948e05237ad6.webp,swap-quote-card,768,521,#f0f0f0,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0055,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-015-img_b5182f4a06f1.webp,network-selector,768,521,#1a1b1c,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0056,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-016-img_e59d3e959dc2.webp,gas-fee-warning,768,521,#edeeee,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0057,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-017-img_f1eec4bb5e77.webp,connect-dapp-permission,768,521,#3c3b3c,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0058,flow,styles/metamask-crypto-wallet-trust/evidence/mobbin/flows/flow-preview-018-img_fba9f949d179.webp,security-warning,768,521,#eaebed,Mobbin MCP cached image export,screenshot-derived
