id,source_type,local_path,component_match,width,height,avg_hex,provenance,implementation_status
raycast-command-native-0044,flow,styles/raycast-command-native/evidence/mobbin/flows/flow-preview-004-img_1e8d560bbb72.webp,ai-action-panel,768,523,#e9e8e8,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0045,flow,styles/raycast-command-native/evidence/mobbin/flows/flow-preview-005-img_2548d38e8b5e.webp,preferences-modal,768,521,#e9e8e5,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0046,flow,styles/raycast-command-native/evidence/mobbin/flows/flow-preview-006-img_2ca9f4da8a13.webp,team-admin-table,768,523,#eaebeb,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0047,flow,styles/raycast-command-native/evidence/mobbin/flows/flow-preview-007-img_42471e99488f.webp,onboarding-install,768,521,#d7d6d3,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0048,flow,styles/raycast-command-native/evidence/mobbin/flows/flow-preview-008-img_4e08f3f15e8d.webp,pricing-card,768,521,#e6e7e2,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0049,flow,styles/raycast-command-native/evidence/mobbin/flows/flow-preview-009-img_5d0e4f0a87ff.webp,search-results-list,768,521,#242b3a,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0050,flow,styles/raycast-command-native/evidence/mobbin/flows/flow-preview-010-img_5f92a5be9f22.webp,empty-state-command,768,521,#242c3c,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0051,flow,styles/raycast-command-native/evidence/mobbin/flows/flow-preview-011-img_649522f6d8b4.webp,command-palette,768,521,#ecebe8,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0052,flow,styles/raycast-command-native/evidence/mobbin/flows/flow-preview-012-img_79a663895e29.webp,extension-card-grid,768,521,#e6e7e4,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0053,flow,styles/raycast-command-native/evidence/mobbin/flows/flow-preview-013-img_79ddf3606271.webp,shortcut-row,768,523,#bebfc3,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0054,flow,styles/raycast-command-native/evidence/mobbin/flows/flow-preview-014-img_85ecded95b76.webp,ai-action-panel,768,523,#f1f1f1,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0055,flow,styles/raycast-command-native/evidence/mobbin/flows/flow-preview-015-img_9612036511ec.webp,preferences-modal,768,523,#ebedee,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0056,flow,styles/raycast-command-native/evidence/mobbin/flows/flow-preview-016-img_a4cf3c97e1e3.webp,team-admin-table,768,523,#eeeded,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0057,flow,styles/raycast-command-native/evidence/mobbin/flows/flow-preview-017-img_a67eb85dbaf4.webp,onboarding-install,768,521,#c2c2c2,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0058,flow,styles/raycast-command-native/evidence/mobbin/flows/flow-preview-018-img_b9feac574f07.webp,pricing-card,768,523,#dbddde,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0059,flow,styles/raycast-command-native/evidence/mobbin/flows/flow-preview-019-img_bbee4c08231a.webp,search-results-list,768,521,#e6e7e3,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0060,flow,styles/raycast-command-native/evidence/mobbin/flows/flow-preview-020-img_e178c6284816.webp,empty-state-command,768,523,#706e7e,Mobbin MCP cached image export,screenshot-derived
